Only Jesus;Casting Crowns;2018;https://www.youtube.com/watch?v=CAnf2qxtFb4;;;;;;;
In The Light;DC Talk;1995;https://www.youtube.com/watch?v=vTWPbPixvIc;;;;;;;
Build Your Kingdom Here;Rend Collective;2012;https://www.youtube.com/watch?v=sbdJXKqVgtg&ab_channel=RendCollective;;;;;;;
Build My Life;Pat Barrett;2018;https://www.youtube.com/watch?v=ZtP8aYcTkO4;;;;;;;
Praise Adonai;Paul Baloche;2001;https://www.youtube.com/watch?v=2s8Spq4Zs0M;;;;;;;
I Could Sing of Your Love Forever;Martin Smith, Delirious?;1994;https://www.youtube.com/watch?v=UaC03o0YL2c&ab_channel=Delirious%3F-Topic;;;;;;;
Fix My Eyes;for KING & COUNTRY;2014;https://www.youtube.com/watch?v=2RjtdjR-kMQ;;;;;;;
Graves Into Gardens;Elevation Worship;2020;https://www.youtube.com/watch?v=KwX1f2gYKZ4;;;;;;;
Wie tief muss Gottes Liebe sein;Stuart Townend, Ute Orth;1995;https://www.youtube.com/watch?v=qKsyV1MSCRI;;;;;;;
Oceans (Where Feet May Fail);Hillsong United;2013;https://www.youtube.com/watch?v=dy9nwe9_xzw&ab_channel=HillsongUNITED;;;;;;;
Basic Instructions;Burlap to Cashmere;1998;https://www.youtube.com/watch?v=ZBkvnKPSqkc&ab_channel=BurlapToCashmere-Topic;;;;;;;
Dem der uns liebt;Julius Löwen, Christian Palmer;1877;https://www.youtube.com/watch?v=ncJcCRVJHKE;;;;;;;
Reckless Love;Cosy Asbury, Caleb Culver, Ran Jackson;2017;https://www.youtube.com/watch?v=Sc6SSHuZvQE;;;;;;;
Was für ein Mensch;Albert Frey;2014;https://www.youtube.com/watch?v=uFUM5zf5eqo;;;;;;;
Bleibend ist deine Treu;Wolfgang Zorn, Thomas O. Christholm, William M. Runyan;1987;https://www.youtube.com/watch?v=PZzIOrJSEIU;;;;;;;
From the inside out;Joel Houston;2005;https://www.youtube.com/watch?v=F881DVFZr8g;;;;;;;
Du meine Seele singe;Paul Gerhardt, Johann Georg Ebeling, Johann Crüger;1666;https://www.youtube.com/watch?v=J9lDnV3slco;;;;;;;
Auf dem Lamm ruht mein Seele;Julius Anton von Posek, Wilhelm Brockhaus ;1861;https://www.youtube.com/watch?v=QxjCx9_uhX4;;;;;;;
Lobe den Herren;Joachim Neader;1680;;;;;;;;
Gut, dass wir einander haben;Manfred Siebald;1990;https://www.youtube.com/watch?v=SyUBBoWn5X4;;;;;;;
Neues Leben;Bastian & Lea Rauschmaier;2014;https://www.youtube.com/watch?v=cRxnEyuPAGE;;;;;;;
Wir sind eins;Mia & Pala Friesen;2014;https://www.youtube.com/watch?v=Y4zX98_Sr4s;;;;;;;
O komm, du Geist der Wahrheit;Philipp Spitta;1833;https://www.youtube.com/watch?v=X6RH3srS7OQ;;;;;;;
Gott segne dich;Martin & Jeniffer Pepper;2011;https://www.youtube.com/watch?app=desktop&v=-5Ubb0QhEMk;;;;;;;
Welch ein Freund ist unser Jesus;Heinrich Ernst Gebhardt, Charles C. Converse, Joseph Medlicott Scriven;1875;https://www.youtube.com/watch?v=HLA7nZQ1BGI&list=RDHLA7nZQ1BGI&start_radio=1;;;;;;;
Unser Vater (Bist zu uns wie ein Vater);Christoph Zehendner, Hans Werner Scharnowski;1994;https://www.youtube.com/watch?v=X9SKdxbM1w8&list=RDX9SKdxbM1w8&start_radio=1;;;;;;;
Ewigkeit;Outbreakband;2021;https://www.youtube.com/watch?v=PcxaUHkmnSQ&list=RDPcxaUHkmnSQ&start_radio=1;;;;;;;
Lobt Gott ihr Christen alle gleich;Nikolaus Herman;1554;https://www.youtube.com/watch?v=x6kZFblDDVU&list=RDx6kZFblDDVU&start_radio=1;;;;;;;
Der Ausweg;Outbreakband;2022;https://www.youtube.com/watch?v=k0jB4p27wQg;;;;;;;
Gott mein Fels;Outbreakband;2022;https://www.youtube.com/watch?v=na02eaS7gnU;;;;;;;
Zünde an dein Feuer;Berta Schmidt-Eller, Samuel Cohen;1969;https://www.youtube.com/watch?v=cyEMOOMK5ek&list=RDcyEMOOMK5ek&start_radio=1;;;;;;;
Herr des Alls;Albert Frey;2001;https://www.youtube.com/watch?v=DPw1UD-f0fQ&list=RDDPw1UD-f0fQ&start_radio=1;;;;;;;
Du bist der Schöpfer des Universums;Bene Müller;1997;https://www.youtube.com/watch?v=gepZHaUEYoI&list=RDgepZHaUEYoI&start_radio=1;;;;;;;
Wo ist solch ein Gott;Bruce Clewett;1978;https://www.youtube.com/watch?v=9i-m7KgfdIQ&list=RD9i-m7KgfdIQ&start_radio=1;;;;;;;
;;;;;;;;;;
Keine Macht der Welt;Thea Eichholz-Müller;2000;https://www.youtube.com/watch?v=MFppR6mnaw8&list=RDMFppR6mnaw8&start_radio=1;;;;;;;
Felsenfest und Stark ist mein Gott;Daniel Kallauch;1989;https://www.youtube.com/watch?v=fKkey-pG--I&list=RDfKkey-pG--I&start_radio=1;;;;;;;
Denn er hat seinen Engeln befohlen;Hella Heizmann;1984;https://www.youtube.com/watch?v=1jynFxzvJd8&list=RD1jynFxzvJd8&start_radio=1;;;;;;;
Geh, Abraham, Geh;Kinderchor aidlingen;2000;https://www.youtube.com/watch?v=4CzrG7aM2o0;;;;;;;
Ja, Gott hat alle Kinder lieb;Margret Birkenfeld;1975;https://www.youtube.com/watch?v=3GjJGIu8XOM&list=RD3GjJGIu8XOM&start_radio=1;;;;;;;
Lobpreis und Ehre;Daniel Jacobi, Jamie Harvill, Gary Sadler;1992;https://www.youtube.com/watch?v=860UfL-zcqc&list=RD860UfL-zcqc&start_radio=1;;;;;;;
Vater des Lichts;John Barnett, Irene Heidenreich, Stephanie Heinen, Thomas Tetzlaff;1991;https://www.youtube.com/watch?v=wN5peywATmM&list=RDwN5peywATmM&start_radio=1;;;;;;;
Du großer Gott, wenn ich die Welt betrachte;Manfred von Glehn, Carl Boberg;1912;https://www.youtube.com/watch?v=9bMVlRa6bgc&list=RD9bMVlRa6bgc&start_radio=1;;;;;;;
Vor deinem Kreuz, Herr, will ich stille werden;Johannes Jourdan, Klaus Heizmann;1991;https://www.youtube.com/watch?v=GR00YjPVlSM&list=RDGR00YjPVlSM&start_radio=1;;;;;;;
10000 Gründe;Jonas Myrin, Matt Redman;2011;https://www.youtube.com/watch?v=gGR72LlZK8g&list=RDgGR72LlZK8g&start_radio=1;;;;;;;
Allein deine Gnade genügt;Elke Reichert;1998;https://youtu.be/fivL0HZjnb8?si=Y7KGhvTASJxfhrH1;;;;;;;
Cornerstone;David Ware, Hillsong Worship;2011;https://youtu.be/izrk-erhDdk?si=BT07vGyFW84UGY2w;;;;;;;
Für den König;Albert Frey;2006;https://youtu.be/8Hz-NHzugw4?si=zEMZZhTQZTUanozs;;;;;;;
So bist nur du;Johannes Falk;2011;https://youtu.be/z9jwqPcoCnU?si=r7E8abelpb9il8fd;;;;;;;
Du tust;Tobi Wörner;2008;https://youtu.be/hs6WnoUVs8s?si=NqY-c0ZtdyDAcjC_;;;;;;;
Happy Day;Tim Hughes und Ben Cantelon;2008;https://www.youtube.com/watch?v=BOiIW8nrw5g;;;;;;;
Wunden zu Wunder;O'Bros;2023;https://www.youtube.com/watch?v=WEHClixwFlg&list=PLSumpbU1S_55JxNoE48RCLfYc9ZFw_4Sa&index=34;;;;;;;
